name,setpoint,kp,ki,kd
adolescent#001,140,-1.74E-04,-1.00E-07,-1.00E-02
adolescent#002,140,-1.00E-04,-1.00E-07,-6.31E-03
adolescent#003,140,-1.00E-04,-1.00E-07,-3.98E-03
adolescent#004,140,-1.00E-04,-1.00E-07,-4.79E-03
adolescent#005,140,-6.31E-05,-1.00E-07,-6.31E-03
adolescent#006,140,-4.54E-10,-1.58E-11,-1.00E-02
adolescent#007,140,-1.07E-07,-6.07E-08,-6.31E-03
adolescent#008,140,-4.54E-10,-4.54E-12,-1.00E-02
adolescent#009,140,-6.31E-05,-1.00E-07,-3.98E-03
adolescent#010,140,-4.54E-10,-4.54E-12,-1.00E-02
adult#001,140,-1.58E-04,-1.00E-07,-1.00E-02
adult#002,140,-3.98E-04,-1.00E-07,-1.00E-02
adult#003,140,-4.54E-10,-1.00E-07,-1.00E-02
adult#004,140,-1.00E-04,-1.00E-07,-3.98E-03
adult#005,140,-3.02E-04,-1.00E-07,-1.00E-02
adult#006,140,-2.51E-04,-2.51E-07,-1.00E-02
adult#007,140,-1.22E-04,-3.49E-07,-2.87E-03
adult#008,140,-1.00E-04,-1.00E-07,-1.00E-02
adult#009,140,-1.00E-04,-1.00E-07,-1.00E-02
adult#010,140,-1.00E-04,-1.00E-07,-1.00E-02
child#001,140,-3.49E-05,-1.00E-07,-1.00E-03
child#002,140,-3.98E-05,-2.87E-08,-3.98E-03
child#003,140,-6.31E-05,-1.74E-08,-1.00E-03
child#004,140,-6.31E-05,-1.00E-07,-1.00E-03
child#005,140,-1.00E-04,-2.87E-08,-6.31E-03
child#006,140,-3.49E-05,-1.00E-07,-1.00E-03
child#007,140,-3.98E-05,-6.07E-08,-2.51E-03
child#008,140,-3.49E-05,-3.68E-08,-1.00E-03
child#009,140,-3.49E-05,-1.00E-07,-1.00E-03
child#010,140,-4.54E-06,-3.68E-08,-2.51E-03
